report_date_as_yyyy_mm_dd,market_and_exchange_names,open_interest_all,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,lev_net_position
2013-04-16,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,165625,11312,15136,762,-3824
2013-04-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,772200,116275,185851,23657,-69576
2013-04-16,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3032875,553239,882002,86050,-328763
2013-04-23,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3028179,541964,881170,94654,-339206
2013-04-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,782302,111083,179058,33693,-67975
2013-04-23,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,176666,16518,16652,934,-134
2013-04-30,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,173796,14022,16889,806,-2867
2013-04-30,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3087728,619861,892055,97393,-272194
2013-04-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,791342,125606,182912,32673,-57306
2013-05-07,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,178306,13087,15943,728,-2856
2013-05-07,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3189841,634830,952278,94498,-317448
2013-05-07,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,816274,129585,195931,30095,-66346
2013-05-14,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,846248,129442,207612,38120,-78170
2013-05-14,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,188695,15462,17280,1591,-1818
2013-05-14,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3287763,628229,1009990,124315,-381761
2013-05-21,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,860454,117016,205936,43063,-88920
2013-05-21,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,192433,16320,18439,1950,-2119
2013-05-21,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3340104,556447,990454,152597,-434007
2013-05-28,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,199578,15133,21275,2320,-6142
2013-05-28,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,876502,113073,211033,47767,-97960
2013-05-28,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3384621,542299,1001385,174638,-459086
2013-06-04,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,867486,106729,202052,55896,-95323
2013-06-04,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,205916,14836,27354,2444,-12518
2013-06-04,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3307852,552181,966205,174544,-414024
2013-06-11,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,215121,13377,25411,2168,-12034
2013-06-11,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3397407,518301,920976,177950,-402675
2013-06-11,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,894602,102528,195097,52267,-92569
2013-06-18,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,3746507,496613,974240,235807,-477627
2013-06-18,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,242088,21032,14739,2738,6293
2013-06-18,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,991389,109315,198548,60939,-89233
2013-06-25,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,703009,100211,143027,17723,-42816
2013-06-25,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,157168,13172,8209,529,4963
2013-06-25,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2729204,452291,691189,68874,-238898
2013-07-02,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2707222,493046,729018,78205,-235972
2013-07-02,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,162285,10758,14276,521,-3518
2013-07-02,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,703729,98887,149599,26643,-50712
2013-07-09,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,705746,96293,155687,24818,-59394
2013-07-09,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2723676,482750,773317,69256,-290567
2013-07-09,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,161011,10299,11579,411,-1280
2013-07-16,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,716164,99339,165397,25920,-66058
2013-07-16,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,159348,10745,14444,617,-3699
2013-07-16,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2784081,496752,808545,72734,-311793
2013-07-23,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,164617,12029,18679,466,-6650
2013-07-23,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2813229,500058,825097,73710,-325039
2013-07-23,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,727263,102405,174063,24843,-71658
2013-07-30,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2840740,523448,816102,73616,-292654
2013-07-30,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,730838,106551,173357,24078,-66806
2013-07-30,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,162690,10754,19029,462,-8275
2013-08-06,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,163175,10742,21835,516,-11093
2013-08-06,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2844836,480094,806961,95337,-326867
2013-08-06,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,732142,95236,171702,31108,-76466
2013-08-13,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,738273,95409,175715,33999,-80306
2013-08-13,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,162988,10113,23021,679,-12908
2013-08-13,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2876427,481953,818942,111125,-336989
2013-08-20,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,754996,92840,165099,43626,-72259
2013-08-20,S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,169064,10636,22687,1383,-12051
2013-08-20,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2929661,493736,794775,128500,-301039
2013-08-27,S&P 500 Consolidated - CHICAGO MERCANTILE EXCHANGE,780789,88339,168434,58327,-80095
2013-08-27,E-MINI S&P 500 STOCK INDEX - CHICAGO MERCANTILE EXCHANGE,2996973,535998,833694,120031,-297696
